药材ID,药材名称,拼音注音,别名,图片本地路径,图片原始URL,来源页面URL,来源数量,来源列表,采集时间
zhiziyangen,雉子筵根,Zhì Zǐ Yán Gēn,,,,https://www.zysj.com.cn/zhongyaocai/zhiziyangen/index.html,2,《中药大辞典》;《中华本草》,2025-12-21 21:41:16
zhiziyan,雉子筵,Zhì Zǐ Yán,满山红、莓叶委陵菜瓢子,,,https://www.zysj.com.cn/zhongyaocai/zhiziyan/index.html,3,《全国中草药汇编》;《中药大辞典》;《中华本草》,2025-12-21 21:41:16
zhi,雉,Zhì,华虫（《尚书》），疏趾（《礼记》），野鸡（《广雅》），雄鸡（《日华子本草》），环颈雉（《脊椎动物分类学》），山鸡、项田野鸡（《中国动物图谱·鸟类》）。,,,https://www.zysj.com.cn/zhongyaocai/zhi/index.html,2,《中药大辞典》;《中华本草》,2025-12-21 21:41:16
zhangmaoxiangkeke,长毛香科科,Zhǎnɡ Máo Xiānɡ Kē Kē,毛薄荷、铁马鞭,,,https://www.zysj.com.cn/zhongyaocai/zhangmaoxiangkeke/index.html,1,《中华本草》,2025-12-21 21:41:17
zhangmaofengmaoju,长毛风毛菊,Zhǎnɡ Máo Fēnɡ Máo Jú,,,,https://www.zysj.com.cn/zhongyaocai/zhangmaofengmaoju/index.html,1,《中华本草》,2025-12-21 21:41:17
zhangmaolingye,长毛柃叶,Zhǎnɡ Máo Línɡ Yè,,,,https://www.zysj.com.cn/zhongyaocai/zhangmaolingye/index.html,1,《中华本草》,2025-12-21 21:41:17
zhuilianli_28015,锥连栎,Zhuī Lián Lì,黄栗,,,https://www.zysj.com.cn/zhongyaocai/zhuilianli_28015/index.html,1,《中华本草》,2025-12-21 21:41:17
zhuiluoke,锥螺壳,Zhuī Luó Ké,,,,https://www.zysj.com.cn/zhongyaocai/zhuiluoke/index.html,1,《中华本草》,2025-12-21 21:41:17
zhuiluoyan,锥螺厣,Zhuī Luó Yǎn,,,,https://www.zysj.com.cn/zhongyaocai/zhuiluoyan/index.html,1,《中华本草》,2025-12-21 21:41:18
zhuiliguoke,锥栗果壳,Zhuī Lì Guǒ Ké,,,,https://www.zysj.com.cn/zhongyaocai/zhuiliguoke/index.html,1,《中药大辞典》,2025-12-21 21:41:18
zhuili,锥栗,Zhuī Lì,栲栗、山椎、锥子树、勒翠、桂林栲、米锥栗,,,https://www.zysj.com.cn/zhongyaocai/zhuili/index.html,2,《全国中草药汇编》;《中药大辞典》,2025-12-21 21:41:18
zuanganchong,钻秆虫,Zuàn Gǎn Chónɡ,高粱条螟[成虫名]、高粱钻心虫,,,https://www.zysj.com.cn/zhongyaocai/zuanganchong/index.html,3,《全国中草药汇编》;《中药大辞典》;《中华本草》,2025-12-21 21:41:19
zuanshifeng,钻石风,Zuàn Shí Fēnɡ,清风藤、铁牛入石、女儿藤,,,https://www.zysj.com.cn/zhongyaocai/zuanshifeng/index.html,4,《全国中草药汇编》;《中药大辞典》;《中药大辞典》;《中华本草》,2025-12-21 21:41:19
zuantianyang,钻天杨,Zuān Tiān Yánɡ,笔杨、箭杆杨、白杨树,,,https://www.zysj.com.cn/zhongyaocai/zuantianyang/index.html,2,《全国中草药汇编》;《中华本草》,2025-12-21 21:41:19
zuandifeng,钻地风,Zuàn Dì Fēnɡ,桐叶藤、利筋藤,,,https://www.zysj.com.cn/zhongyaocai/zuandifeng/index.html,3,《全国中草药汇编》;《中药大辞典》;《中华本草》,2025-12-21 21:41:19
zhongemu,钟萼木,Zhōnɡ è Mù,山桃树、伯乐树,,,https://www.zysj.com.cn/zhongyaocai/zhongemu/index.html,1,《全国中草药汇编》,2025-12-21 21:41:19
zhonghuacao,钟花草,Zhōnɡ Huā Cǎo,青木香草,,,https://www.zysj.com.cn/zhongyaocai/zhonghuacao/index.html,1,《中华本草》,2025-12-21 21:41:20
zhongrushi,钟乳石,Zhōnɡ Rǔ Shí,石钟乳、滴乳石,images/zhongrushi_1.jpg,https://www.zysj.com.cn/zhongyaocai/zhongrushi/zhongrushi_1.jpg,https://www.zysj.com.cn/zhongyaocai/zhongrushi/index.html,3,《中国药典》;《中药大辞典》;《中华本草》,2025-12-21 21:41:20
zhentongxian,针筒线,Zhēn Tǒnɡ Xiàn,心胆草、柳叶菜、小对经草,,,https://www.zysj.com.cn/zhongyaocai/zhentongxian/index.html,1,《全国中草药汇编》,2025-12-21 21:41:20
zhensha,针砂,Zhēn Shā,铁粉,,,https://www.zysj.com.cn/zhongyaocai/zhensha/index.html,3,《全国中草药汇编》;《中药大辞典》;《中华本草》,2025-12-21 21:41:21
zhenyehuorongcao,针叶火绒草,Zhēn Yè Huǒ Rónɡ Cǎo,小火草、苦艾、羊毛火绒草,,,https://www.zysj.com.cn/zhongyaocai/zhenyehuorongcao/index.html,1,《中华本草》,2025-12-21 21:41:21
zhencitiezai,针刺铁仔,Zhēn Cì Tiě Zǎi,,,,https://www.zysj.com.cn/zhongyaocai/zhencitiezai/index.html,1,《中华本草》,2025-12-21 21:41:21
zancai,錾菜,Zàn Cài,白花益母草、山玉米,,,https://www.zysj.com.cn/zhongyaocai/zancai/index.html,3,《全国中草药汇编》;《中药大辞典》;《中华本草》,2025-12-21 21:41:21
zhonglou,重楼,Zhònɡ Lóu,七叶一枝花、金线重楼、灯台七、铁灯台、蚤休、草河车、白河车、枝花头、海螺七、螺丝七,"images/zhonglou_1.jpg,images/zhonglou_2.jpg","https://www.zysj.com.cn/zhongyaocai/zhonglou/zhonglou_2.jpg,https://www.zysj.com.cn/zhongyaocai/zhonglou/zhonglou_1.jpg",https://www.zysj.com.cn/zhongyaocai/zhonglou/index.html,2,《中国药典》;《中药大辞典》,2025-12-21 21:41:22
zhongchunyu,重唇鱼,Zhònɡ Chún Yú,似鲮鲴鱼（《鱼类分类学》），唇鲴（《黑龙江流域鱼类》）。,,,https://www.zysj.com.cn/zhongyaocai/zhongchunyu/index.html,2,《中药大辞典》;《中华本草》,2025-12-21 21:41:22
