药材ID,药材名称,拼音注音,别名,图片本地路径,图片原始URL,来源页面URL,来源数量,来源列表,采集时间
dashiwei,大石韦,Dà Shí Wéi,篦梳剑（《泉州本草》）,,,https://www.zysj.com.cn/zhongyaocai/dashiwei/index.html,1,《中药大辞典》,2025-12-22 00:35:08
dashizao,大石枣,Dà Shí Zǎo,,,,https://www.zysj.com.cn/zhongyaocai/dashizao/index.html,1,《中华本草》,2025-12-22 00:35:08
dapixiao,大皮消,,踏皮树、毡帽老、牛尾巴树,,,https://www.zysj.com.cn/zhongyaocai/dapixiao/index.html,1,《全国中草药汇编》,2025-12-22 00:35:09
dazaojiao,大皂角,Dà Zào Jiǎo,,,,https://www.zysj.com.cn/zhongyaocai/dazaojiao/index.html,1,《全国中草药汇编》,2025-12-22 00:35:09
dabaijieshu,大百解薯,Dà Bǎi Jiě Shǔ,金银袋、大总管、萝卜防己、大青木香。,,,https://www.zysj.com.cn/zhongyaocai/dabaijieshu/index.html,1,《中华本草》,2025-12-22 00:35:09
dabaidingcao,大白顶草,Dà Bái Dǐnɡ Cǎo,,,,https://www.zysj.com.cn/zhongyaocai/dabaidingcao/index.html,2,《中药大辞典》;《中华本草》,2025-12-22 00:35:09
dabaiyao,大白药,Dà Bái Yào,小白药、蛆藤、大对节生、大掰角牛,,,https://www.zysj.com.cn/zhongyaocai/dabaiyao/index.html,3,《全国中草药汇编》;《中药大辞典》;《中华本草》,2025-12-22 00:35:10
dabaidujuan,大白杜鹃,Dà Bái Dù Juān,,,,https://www.zysj.com.cn/zhongyaocai/dabaidujuan/index.html,1,《中华本草》,2025-12-22 00:35:10
dahuameicaohua,大画眉草花,Dà Huà Méi Cǎo Huā,星星草花,,,https://www.zysj.com.cn/zhongyaocai/dahuameicaohua/index.html,1,《中华本草》,2025-12-22 00:35:10
dahuameicao,大画眉草,Dà Huà Méi Cǎo,星星草、西连画眉草,,,https://www.zysj.com.cn/zhongyaocai/dahuameicao/index.html,1,《中华本草》,2025-12-22 00:35:10
datianjihuang,大田基黄,Dà Tián Jī Huánɡ,星宿菜、赤脚草、红根草、红根子、红脚菜、红梗草、黄脚鸡、黄鳝草、矮桃草、散血草,images/datianjihuang_1.jpg,https://www.zysj.com.cn/zhongyaocai/datianjihuang/datianjihuang_1.jpg,https://www.zysj.com.cn/zhongyaocai/datianjihuang/index.html,2,《全国中草药汇编》;《中华本草》,2025-12-22 00:35:11
dawaweimoyexingjue,大瓦韦膜叶星蕨,Dà Wǎ Wéi Mó Yè Xīnɡ Jué,大风草、爬山姜、断骨粘、宝剑草、光石韦、大石韦、岩姜七、鸡足莲、大叶包针,,,https://www.zysj.com.cn/zhongyaocai/dawaweimoyexingjue/index.html,1,《中华本草》,2025-12-22 00:35:11
dawawei,大瓦韦,Dà Wǎ Wéi,金星凤尾草、凤尾金星、岩巫散、观音旗、黄瓦韦,,,https://www.zysj.com.cn/zhongyaocai/dawawei/index.html,1,《中华本草》,2025-12-22 00:35:11
daliju,大理菊,Dà Lǐ Jú,天竺牡丹、大理花、西番莲、洋芍药,,,https://www.zysj.com.cn/zhongyaocai/daliju/index.html,1,《中华本草》,2025-12-22 00:35:11
dalimuxiang,大理木香,Dà Lǐ Mù Xiānɡ,理木香,,,https://www.zysj.com.cn/zhongyaocai/dalimuxiang/index.html,1,《中华本草》,2025-12-22 00:35:12
dalangdu,大狼毒,Dà Lánɡ Dú,格枝糯、乌吐、五虎下西山、矮红、隔山堆,images/dalangdu_1.gif,https://www.zysj.com.cn/zhongyaocai/dalangdu/dalangdu_1.gif,https://www.zysj.com.cn/zhongyaocai/dalangdu/index.html,4,《全国中草药汇编》;《中药大辞典》;《中药大辞典》;《中华本草》,2025-12-22 00:35:13
dalangbacao,大狼把草,Dà Lánɡ Bǎ Cǎo,狼把草、接力草、针线包、一包针、外国脱力草、针线包草,,,https://www.zysj.com.cn/zhongyaocai/dalangbacao/index.html,1,《中华本草》,2025-12-22 00:35:13
dadujiaojin,大独脚金,Dà Dú Jiǎo Jīn,小白花苏、干草,,,https://www.zysj.com.cn/zhongyaocai/dadujiaojin/index.html,1,《全国中草药汇编》,2025-12-22 00:35:13
daduyecao,大独叶草,Dà Dú Yè Cǎo,化血丹,,,https://www.zysj.com.cn/zhongyaocai/daduyecao/index.html,2,《中药大辞典》;《中华本草》,2025-12-22 00:35:14
dagouweicao,大狗尾草,Dà Gǒu Wěi Cǎo,狗尾巴,,,https://www.zysj.com.cn/zhongyaocai/dagouweicao/index.html,3,《全国中草药汇编》;《中药大辞典》;《中华本草》,2025-12-22 00:35:14
dayanguocao,大烟锅草,,香油罐,images/dayanguocao_1.jpg,https://www.zysj.com.cn/zhongyaocai/dayanguocao/dayanguocao_1.jpg,https://www.zysj.com.cn/zhongyaocai/dayanguocao/index.html,1,《全国中草药汇编》,2025-12-22 00:35:14
dahuocaogen,大火草根,Dà Huǒ Cǎo Gēn,野棉花根、土白头翁（《重庆草药》），大头翁（《陕西植药调查》）。,,,https://www.zysj.com.cn/zhongyaocai/dahuocaogen/index.html,2,《中药大辞典》;《中华本草》,2025-12-22 00:35:14
dafuping,大浮萍,Dà Fú Pínɡ,大薸（《纲目》），猪姆莲（《岭南采药录》），水浮萍（《南宁市药物志》），大浦藻（《岭南草药志》），浮萍（《广西药植名录》）。,images/dafuping_1.jpg,https://www.zysj.com.cn/zhongyaocai/dafuping/dafuping_1.jpg,https://www.zysj.com.cn/zhongyaocai/dafuping/index.html,2,《中药大辞典》;《中华本草》,2025-12-22 00:35:15
dahuo,大活,Dà Huó,独活、香大活、走马芹、走马芹筒子,,,https://www.zysj.com.cn/zhongyaocai/dahuo/index.html,1,《中华本草》,2025-12-22 00:35:15
dapaotongpi,大泡通皮,Dà Pào Tōnɡ Pí,枝子皮,,,https://www.zysj.com.cn/zhongyaocai/dapaotongpi/index.html,2,《中药大辞典》;《中华本草》,2025-12-22 00:35:15
dapaotongye,大泡通叶,Dà Pào Tōnɡ Yè,牛嗓管叶、豆鼓叶、大豆豉叶,,,https://www.zysj.com.cn/zhongyaocai/dapaotongye/index.html,2,《中药大辞典》;《中华本草》,2025-12-22 00:35:16
dapaotong,大泡通,Dà Pào Tōnɡ,泡通、大木通、隔子通、饭包叶、三叉木、豆豉叶、大豆豉叶、牛嗓管、伞把木、大通塔,,,https://www.zysj.com.cn/zhongyaocai/dapaotong/index.html,3,《全国中草药汇编》;《中药大辞典》;《中华本草》,2025-12-22 00:35:16
dashaye,大沙叶,Dà Shā Yè,大叶满天星,,,https://www.zysj.com.cn/zhongyaocai/dashaye/index.html,3,《全国中草药汇编》;《中药大辞典》;《中华本草》,2025-12-22 00:35:16
damaohonghua,大毛红花,Dà Máo Hónɡ Huā,大巴巴叶、大红毛叶、大钩藤叶（《云南中草药》）。,,,https://www.zysj.com.cn/zhongyaocai/damaohonghua/index.html,1,《中药大辞典》,2025-12-22 00:35:16
damaotongzigen,大毛桐子根,Dà Máo Tónɡ Zǐ Gēn,姜桐子树根、圆鞋、粗糠根。,,,https://www.zysj.com.cn/zhongyaocai/damaotongzigen/index.html,2,《中药大辞典》;《中华本草》,2025-12-22 00:35:17
damuzhuteng,大母猪藤,Dà Mǔ Zhū Ténɡ,大叶乌蔹莓、野葡萄、绿叶扁担藤,,,https://www.zysj.com.cn/zhongyaocai/damuzhuteng/index.html,3,《全国中草药汇编》;《中药大辞典》;《中华本草》,2025-12-22 00:35:17
dahengwen,大横纹,,横纹独须、金叶树,,,https://www.zysj.com.cn/zhongyaocai/dahengwen/index.html,1,《全国中草药汇编》,2025-12-22 00:35:17
dayumo,大榆蘑,Dà Yú Mó,榆侧耳、榆耳、榆蘑,,,https://www.zysj.com.cn/zhongyaocai/dayumo/index.html,1,《中华本草》,2025-12-22 00:35:17
dasuoluo,大桫椤,Dà Suō Luó,黑狗脊,,,https://www.zysj.com.cn/zhongyaocai/dasuoluo/index.html,1,《中华本草》,2025-12-22 00:35:18
dashudieda,大树跌打,Dà Shù Diē Dǎ,黄桐,,,https://www.zysj.com.cn/zhongyaocai/dashudieda/index.html,2,《中药大辞典》;《中华本草》,2025-12-22 00:35:18
dashupi,大树皮,Dà Shù Pí,梅榆、榆树,,,https://www.zysj.com.cn/zhongyaocai/dashupi/index.html,2,《中药大辞典》;《中华本草》,2025-12-22 00:35:18
dashugancao,大树甘草,Dà Shù Gān Cǎo,当娜、树甘草、白头将军、木辣,,,https://www.zysj.com.cn/zhongyaocai/dashugancao/index.html,1,《中华本草》,2025-12-22 00:35:18
dashusantai,大树三台,,,,,https://www.zysj.com.cn/zhongyaocai/dashusantai/index.html,1,《全国中草药汇编》,2025-12-22 00:35:19
dazao,大枣,Dà Zǎo,枣、红枣、枣子,"images/dazao_1.jpg,images/dazao_2.jpg","https://www.zysj.com.cn/zhongyaocai/dazao/dazao_1.jpg,https://www.zysj.com.cn/zhongyaocai/dazao/dazao_2.jpg",https://www.zysj.com.cn/zhongyaocai/dazao/index.html,4,《中国药典》;《全国中草药汇编》;《中药大辞典》;《中华本草》,2025-12-22 00:35:20
daguochouchunpi,大果臭椿皮,Dà Guǒ Chòu Chūn Pí,,,,https://www.zysj.com.cn/zhongyaocai/daguochouchunpi/index.html,1,《中华本草》,2025-12-22 00:35:20
daguoliulicao,大果琉璃草,Dà Guǒ Liú Lí Cǎo,展枝倒提壶、大赖毛子,,,https://www.zysj.com.cn/zhongyaocai/daguoliulicao/index.html,1,《全国中草药汇编》,2025-12-22 00:35:20
daguoyu,大果榆,,黄榆、山榆、毛榆,,,https://www.zysj.com.cn/zhongyaocai/daguoyu/index.html,1,《全国中草药汇编》,2025-12-22 00:35:20
daguobaji,大果巴戟,Dà Guǒ Bā Jǐ,扣灯、防己、越南鸡眼藤、白鸡屎藤,,,https://www.zysj.com.cn/zhongyaocai/daguobaji/index.html,1,《中华本草》,2025-12-22 00:35:20
daguoweimao,大果卫矛,Dà Guǒ Wèi Máo,白鸡槿、青得方。,,,https://www.zysj.com.cn/zhongyaocai/daguoweimao/index.html,1,《中华本草》,2025-12-22 00:35:21
dabanshanzaozhui,大板山蚤缀,Dà Bǎn Shān Zǎo Zhuì,,,,https://www.zysj.com.cn/zhongyaocai/dabanshanzaozhui/index.html,1,《中华本草》,2025-12-22 00:35:21
dadujuan,大杜鹃,,红杜鹃、爆杖杜鹃,,,https://www.zysj.com.cn/zhongyaocai/dadujuan/index.html,1,《全国中草药汇编》,2025-12-22 00:35:21
damutong,大木通,Dà Mù Tōnɡ,接骨丹、白头公公、黄藤通、丝瓜藤、小木通、线不通,,,https://www.zysj.com.cn/zhongyaocai/damutong/index.html,1,《中华本草》,2025-12-22 00:35:22
dahunjitou,大昏鸡头,,刺齿贯众、尖耳贯众、大叶兰黄、大叶鲁基,,,https://www.zysj.com.cn/zhongyaocai/dahunjitou/index.html,1,《全国中草药汇编》,2025-12-22 00:35:22
dahuntouji,大昏头鸡,Dà Hūn Tóu Jī,贯众、蕨薇菜根、大叶兰芝、大叶鲁基、牛尾贯众、昏头鸡、大叶贯众,,,https://www.zysj.com.cn/zhongyaocai/dahuntouji/index.html,1,《中华本草》,2025-12-22 00:35:22
dasanxue,大散血,Dà Sàn Xuè,,,,https://www.zysj.com.cn/zhongyaocai/dasanxue/index.html,1,《中华本草》,2025-12-22 00:35:22
dajiegudan,大接骨丹,Dà Jiē Gǔ Dān,水冬瓜、接骨丹、叨里木,"images/dajiegudan_1.jpg,images/dajiegudan_2.jpg,images/dajiegudan_3.jpg","https://www.zysj.com.cn/zhongyaocai/dajiegudan/dajiegudan_2.jpg,https://www.zysj.com.cn/zhongyaocai/dajiegudan/dajiegudan_1.jpg,https://www.zysj.com.cn/zhongyaocai/dajiegudan/dajiegudan_3.jpg",https://www.zysj.com.cn/zhongyaocai/dajiegudan/index.html,3,《全国中草药汇编》;《中药大辞典》;《中华本草》,2025-12-22 00:35:23
dabaochunhua,大报春花,,水白菜、报春花、大癞痢,,,https://www.zysj.com.cn/zhongyaocai/dabaochunhua/index.html,1,《全国中草药汇编》,2025-12-22 00:35:24
dabianzhulan,大扁竹兰,Dà Biǎn Zhú Lán,,,,https://www.zysj.com.cn/zhongyaocai/dabianzhulan/index.html,1,《中华本草》,2025-12-22 00:35:24
daji_6808,大戟,Dà Jǐ,下马仙（《纲目》）,,,https://www.zysj.com.cn/zhongyaocai/daji_6808/index.html,2,《中药大辞典》;《中华本草》,2025-12-22 00:35:24
dachaocai,大巢菜,Dà Cháo Cài,薇（《诗经》），垂水（《尔雅》），薇莱、巢菜、野豌豆（《品汇精要》），野麻豌（《草木便方》），箭舌豌豆（《植物学大辞典》），救荒野豌豆、春巢菜、普通苕子、野菜豆、黄藤子（《中国主要植物图说·豆科》），苕子（《广州植物志》），肥田草（《贵州草药》）。,,,https://www.zysj.com.cn/zhongyaocai/dachaocai/index.html,2,《中药大辞典》;《中华本草》,2025-12-22 00:35:24
dashanlidou,大山黧豆,Dà Shān Lí Dòu,茳茫香豌豆、山豇豆,,,https://www.zysj.com.cn/zhongyaocai/dashanlidou/index.html,2,《全国中草药汇编》;《中华本草》,2025-12-22 00:35:25
dashandou,大山豆,,野黄豆、顺气药,,,https://www.zysj.com.cn/zhongyaocai/dashandou/index.html,1,《全国中草药汇编》,2025-12-22 00:35:25
dashanzhima,大山芝麻,Dà Shān Zhī Mɑ,山油麻、假芝麻。,,,https://www.zysj.com.cn/zhongyaocai/dashanzhima/index.html,1,《中华本草》,2025-12-22 00:35:25
dashanxuanshen,大山玄参,Dà Shān Xuán Shēn,川玄参、土玄参、元参、安东玄参,,,https://www.zysj.com.cn/zhongyaocai/dashanxuanshen/index.html,2,《全国中草药汇编》;《中华本草》,2025-12-22 00:35:25
daweiyao,大尾摇,Dà Wěi Yáo,象鼻草、全虫草、狗尾虫、天芥菜,,,https://www.zysj.com.cn/zhongyaocai/daweiyao/index.html,3,《全国中草药汇编》;《中药大辞典》;《中华本草》,2025-12-22 00:35:25
dajiangjun,大将军,,红雪柳、蒙自苣,,,https://www.zysj.com.cn/zhongyaocai/dajiangjun/index.html,1,《全国中草药汇编》,2025-12-22 00:35:26
daduijingcao,大对经草,Dà Duì Jīnɡ Cǎo,老君茶,,,https://www.zysj.com.cn/zhongyaocai/daduijingcao/index.html,3,《全国中草药汇编》;《中药大辞典》;《中华本草》,2025-12-22 00:35:26
datouchen,大头陈,Dà Tóu Chén,地松茶、黑头草、石辣,images/datouchen_1.jpg,https://www.zysj.com.cn/zhongyaocai/datouchen/datouchen_1.jpg,https://www.zysj.com.cn/zhongyaocai/datouchen/index.html,3,《全国中草药汇编》;《中药大辞典》;《中华本草》,2025-12-22 00:35:26
datoucaizi,大头菜子,,水芥子,,,https://www.zysj.com.cn/zhongyaocai/datoucaizi/index.html,1,《全国中草药汇编》,2025-12-22 00:35:26
datouchaguo,大头茶果,Dà Tóu Chá Guǒ,,,,https://www.zysj.com.cn/zhongyaocai/datouchaguo/index.html,1,《中华本草》,2025-12-22 00:35:27
datoucha,大头茶,Dà Tóu Chá,花东青、大山皮。,,,https://www.zysj.com.cn/zhongyaocai/datoucha/index.html,1,《中华本草》,2025-12-22 00:35:28
datouainaxiang,大头艾纳香,,白花九里明、华艾纳香、管牙、东风草,,,https://www.zysj.com.cn/zhongyaocai/datouainaxiang/index.html,1,《全国中草药汇编》,2025-12-22 00:35:28
datougou,大头狗,Dà Tóu Gǒu,毫螭虫、土蚱子、土蚂蚱子（《中国农作物病虫图谱》）。,,,https://www.zysj.com.cn/zhongyaocai/datougou/index.html,2,《中药大辞典》;《中华本草》,2025-12-22 00:35:28
datoutuowu,大头橐吾,,兔打伞、猴巴掌、望江南,,,https://www.zysj.com.cn/zhongyaocai/datoutuowu/index.html,1,《全国中草药汇编》,2025-12-22 00:35:28
dayeguanmengen,大夜关门根,Dà Yè Guān Mén Gēn,,,,https://www.zysj.com.cn/zhongyaocai/dayeguanmengen/index.html,2,《中药大辞典》;《中华本草》,2025-12-22 00:35:29
dayeguanmen,大夜关门,Dà Yè Guān Mén,羊蹄风、猪腰藤,images/dayeguanmen_1.jpg,https://www.zysj.com.cn/zhongyaocai/dayeguanmen/dayeguanmen_1.jpg,https://www.zysj.com.cn/zhongyaocai/dayeguanmen/index.html,3,《全国中草药汇编》;《中药大辞典》;《中华本草》,2025-12-22 00:35:29
dakuaiwa,大块瓦,Dà Kuài Wǎ,花叶细辛、矮细辛、铺地细辛、土细辛、白三百棒。,,,https://www.zysj.com.cn/zhongyaocai/dakuaiwa/index.html,1,《中华本草》,2025-12-22 00:35:29
dadizonggen,大地棕根,Dà Dì Zōnɡ Gēn,,,,https://www.zysj.com.cn/zhongyaocai/dadizonggen/index.html,2,《中药大辞典》;《中华本草》,2025-12-22 00:35:29
dadibaizhi,大地柏枝,,长江蹄盖蕨、山柏、散柏枝,,,https://www.zysj.com.cn/zhongyaocai/dadibaizhi/index.html,1,《全国中草药汇编》,2025-12-22 00:35:30
datuannangchongcao,大团囊虫草,Dà Tuán Nánɡ Chónɡ Cǎo,,,,https://www.zysj.com.cn/zhongyaocai/datuannangchongcao/index.html,1,《中华本草》,2025-12-22 00:35:30
dasikuaiwa,大四块瓦,Dà Sì Kuài Wǎ,四儿风、四叶黄、四片瓦、四块瓦,images/dasikuaiwa_1.jpg,https://www.zysj.com.cn/zhongyaocai/dasikuaiwa/dasikuaiwa_1.jpg,https://www.zysj.com.cn/zhongyaocai/dasikuaiwa/index.html,2,《全国中草药汇编》;《中华本草》,2025-12-22 00:35:30
dachunmaxianhao,大唇马先蒿,Dà Chún Mǎ Xiān Hāo,,,,https://www.zysj.com.cn/zhongyaocai/dachunmaxianhao/index.html,1,《中华本草》,2025-12-22 00:35:30
dachunxiangkeke,大唇香科科,Dà Chún Xiānɡ Kē Kē,山苏麻；野薄荷,,,https://www.zysj.com.cn/zhongyaocai/dachunxiangkeke/index.html,1,《中华本草》,2025-12-22 00:35:31
dayehuangyanggen,大叶黄杨根,Dà Yè Huánɡ Yánɡ Gēn,,,,https://www.zysj.com.cn/zhongyaocai/dayehuangyanggen/index.html,1,《中华本草》,2025-12-22 00:35:31
dayehuangyangye,大叶黄杨叶,Dà Yè Huánɡ Yánɡ Yè,,,,https://www.zysj.com.cn/zhongyaocai/dayehuangyangye/index.html,1,《中华本草》,2025-12-22 00:35:31
dayehuangyang,大叶黄杨,Dà Yè Huánɡ Yánɡ,,,,https://www.zysj.com.cn/zhongyaocai/dayehuangyang/index.html,1,《中华本草》,2025-12-22 00:35:31
dayejijuhua,大叶鸡菊花,Dà Yè Jī Jú Huā,,,,https://www.zysj.com.cn/zhongyaocai/dayejijuhua/index.html,1,《中华本草》,2025-12-22 00:35:31
dayegusuibu,大叶骨碎补,Dà Yè Gǔ Suì Bǔ,,,,https://www.zysj.com.cn/zhongyaocai/dayegusuibu/index.html,1,《中华本草》,2025-12-22 00:35:32
dayegupaicao,大叶骨牌草,Dà Yè Gǔ Pái Cǎo,凤尾金星、七星剑、旋鸡尾、排骨草、七星凤尾、一包针、龙眼草,,,https://www.zysj.com.cn/zhongyaocai/dayegupaicao/index.html,2,《全国中草药汇编》;《中华本草》,2025-12-22 00:35:32
dayemayilian,大叶马尾连,Dà Yè Mǎ Yǐ Lián,,,,https://www.zysj.com.cn/zhongyaocai/dayemayilian/index.html,2,《中药大辞典》;《中华本草》,2025-12-22 00:35:32
dayexiangru,大叶香薷,Dà Yè Xiānɡ Rú,热痱草（《广西植物名录》）,,,https://www.zysj.com.cn/zhongyaocai/dayexiangru/index.html,1,《中药大辞典》,2025-12-22 00:35:32
dayexiangjicai,大叶香荠菜,Dà Yè Xiānɡ Jì Cài,北美独行菜、土荆芥穗、辣菜。,,,https://www.zysj.com.cn/zhongyaocai/dayexiangjicai/index.html,1,《中华本草》,2025-12-22 00:35:32
dayefengshateng,大叶风沙藤,Dà Yè Fēnɡ Shā Ténɡ,海风藤、地血香、梅花钻、大梅花钻、吹风散、大血藤、过山风、绣球香、通血香、过山龙藤、大饭团,,,https://www.zysj.com.cn/zhongyaocai/dayefengshateng/index.html,1,《全国中草药汇编》,2025-12-22 00:35:33
dayeqingmuxiang,大叶青木香,Dà Yè Qīng Mù Xiāng,土防己、青木香[四川],images/dayeqingmuxiang_1.jpg,https://www.zysj.com.cn/zhongyaocai/dayeqingmuxiang/dayeqingmuxiang_1.jpg,https://www.zysj.com.cn/zhongyaocai/dayeqingmuxiang/index.html,2,《全国中草药汇编》;《中华本草》,2025-12-22 00:35:33
dayetiebaojin,大叶铁包金,,马梢蛇藤、勾儿茶、紫罗花,,,https://www.zysj.com.cn/zhongyaocai/dayetiebaojin/index.html,1,《全国中草药汇编》,2025-12-22 00:35:33
dayegoutenggen,大叶钩藤根,Dà Yè Gōu Ténɡ Gēn,,,,https://www.zysj.com.cn/zhongyaocai/dayegoutenggen/index.html,1,《中药大辞典》,2025-12-22 00:35:34
dayegouteng,大叶钩藤,Dà Yè Gōu Ténɡ,大钩丁（《广西药植名录》），双钩藤（《云南中草药选》）。,,,https://www.zysj.com.cn/zhongyaocai/dayegouteng/index.html,1,《中药大辞典》,2025-12-22 00:35:34
dayediaozhang,大叶钓樟,Dà Yè Diào Zhānɡ,土官桂、干橿木、绿叶甘橿、小叶甘橿、钓樟,,,https://www.zysj.com.cn/zhongyaocai/dayediaozhang/index.html,1,《全国中草药汇编》,2025-12-22 00:35:34
dayejinjinxiang,大叶金锦香,Dà Yè Jīn Jǐn Xiānɡ,野牡丹、尼泊尔金锦香,,,https://www.zysj.com.cn/zhongyaocai/dayejinjinxiang/index.html,2,《全国中草药汇编》;《中华本草》,2025-12-22 00:35:34
dayejinhuacao,大叶金花草,Dà Yè Jīn Huā Cǎo,野黄连、水黄连（《峨媚药植》），牙齿芒（《广州植物志》），擎天蕨（《广西中兽医药植》），雪仙草、扫雪花（《江西民间草药》），蜢蚱参（《中国植物志》），上树细辛草、青蕨（《广西中药志》），金花草（《广东中药》），大金花草（《广西中草药》），乌韭、石发、地柏枝（广州部队《常用中草药手册》），雉鸡尾、小鸡尾草、细叶狼箕、花叶凤尾草、乌竹、墙柏、细叶凤凰尾（《浙江民间常用草药》），土黄连（《福建中草药》）。,,,https://www.zysj.com.cn/zhongyaocai/dayejinhuacao/index.html,2,《中药大辞典》;《中华本草》,2025-12-22 00:35:35
dayejinhuachaye,大叶金花茶叶,Dà Yè Jīn Huā Chá Yè,,,,https://www.zysj.com.cn/zhongyaocai/dayejinhuachaye/index.html,1,《中华本草》,2025-12-22 00:35:35
dayezuiyucao,大叶醉鱼草,Dà Yè Zuì Yú Cǎo,紫花醉鱼草、大蒙花、酒药花,,,https://www.zysj.com.cn/zhongyaocai/dayezuiyucao/index.html,1,《全国中草药汇编》,2025-12-22 00:35:35
dayesuantengzi,大叶酸藤子,Dà Yè Suān Ténɡ Zǐ,大叶十八症、大鸡母酸,,,https://www.zysj.com.cn/zhongyaocai/dayesuantengzi/index.html,1,《中华本草》,2025-12-22 00:35:35
dayesuanteng,大叶酸藤,,酸盘子、长叶酸藤果、马桂花,,,https://www.zysj.com.cn/zhongyaocai/dayesuanteng/index.html,1,《全国中草药汇编》,2025-12-22 00:35:35
dayeguanzhong,大叶贯众,Dà Yè Guàn Zhònɡ,,,,https://www.zysj.com.cn/zhongyaocai/dayeguanzhong/index.html,1,《中华本草》,2025-12-22 00:35:36
dayeshepaole,大叶蛇泡簕,Dà Yè Shé Pào Lè,狗头泡、老虎泡、八月泡,,,https://www.zysj.com.cn/zhongyaocai/dayeshepaole/index.html,1,《全国中草药汇编》,2025-12-22 00:35:36
dayeshezongguan,大叶蛇总管,Dà Yè Shé Zǒnɡ Guǎn,藿香（《南京民间药草》），山薄荷、铁菱角（《浙江中药资源名录》），蓝花柴胡（《广西中草药》）。,,,https://www.zysj.com.cn/zhongyaocai/dayeshezongguan/index.html,2,《中药大辞典》;《中华本草》,2025-12-22 00:35:36
dayezao,大叶藻,Dà Yè Zǎo,海带、海马蔺、海草、海带草,,,https://www.zysj.com.cn/zhongyaocai/dayezao/index.html,1,《中华本草》,2025-12-22 00:35:37
dayeteng,大叶藤,Dà Yè Ténɡ,奶汁藤、假黄藤、犸骝能,,,https://www.zysj.com.cn/zhongyaocai/dayeteng/index.html,2,《全国中草药汇编》;《中华本草》,2025-12-22 00:35:37
dayeli,大叶藜,Dà Yè Lí,血见愁[东北],images/dayeli_1.jpg,https://www.zysj.com.cn/zhongyaocai/dayeli/dayeli_1.jpg,https://www.zysj.com.cn/zhongyaocai/dayeli/index.html,2,《全国中草药汇编》;《中华本草》,2025-12-22 00:35:37
dayeju,大叶蒟,Dà Yè Jǔ,小肠风、野胡椒、山胡椒。,,,https://www.zysj.com.cn/zhongyaocai/dayeju/index.html,1,《中华本草》,2025-12-22 00:35:37
dayecai,大叶菜,Dà Yè Cài,梭罗草（《贵州民间药物》），山扁柏、水柏枝、山棍草（《广西药植名录》），石上柏（《新医学》（6、7）：58，1971）。,,,https://www.zysj.com.cn/zhongyaocai/dayecai/index.html,1,《中药大辞典》,2025-12-22 00:35:38
dayejumaicai,大叶苣荬菜,Dà Yè Jù Mǎi Cài,白花大蓟、苦荬、圆再苦苣菜、败酱草,,,https://www.zysj.com.cn/zhongyaocai/dayejumaicai/index.html,1,《中华本草》,2025-12-22 00:35:38
dayehuajiaojingye,大叶花椒茎叶,Dà Yè Huā Jiāo Jīnɡ Yè,,,,https://www.zysj.com.cn/zhongyaocai/dayehuajiaojingye/index.html,2,《中药大辞典》;《中华本草》,2025-12-22 00:35:38
dayehuajiao,大叶花椒,Dà Yè Huā Jiāo,见血飞（《湖南药物志》），山批杷、铁杆椒、岩花椒（《贵州草药》），蚌壳花椒、单面针、钻山虎（《四川常用中草药》）。,,,https://www.zysj.com.cn/zhongyaocai/dayehuajiao/index.html,2,《中药大辞典》;《中华本草》,2025-12-22 00:35:38
dayehuzhizi,大叶胡枝子,Dà Yè Hú Zhī Zǐ,大叶乌梢、大叶马料梢、活血丹,,,https://www.zysj.com.cn/zhongyaocai/dayehuzhizi/index.html,1,《全国中草药汇编》,2025-12-22 00:35:38
dayeziwei,大叶紫薇,Dà Yè Zǐ Wēi,,,,https://www.zysj.com.cn/zhongyaocai/dayeziwei/index.html,1,《中华本草》,2025-12-22 00:35:39
dayezisu,大叶紫苏,Dà Yè Zǐ Sū,,,,https://www.zysj.com.cn/zhongyaocai/dayezisu/index.html,1,《中华本草》,2025-12-22 00:35:39
dayezizhu,大叶紫珠,Dà Yè Zǐ Zhū,紫珠草、大风叶、赶风紫、红大曰，假大艾,images/dayezizhu_1.jpg,https://www.zysj.com.cn/zhongyaocai/dayezizhu/dayezizhu_1.jpg,https://www.zysj.com.cn/zhongyaocai/dayezizhu/index.html,3,《全国中草药汇编》;《中药大辞典》;《中华本草》,2025-12-22 00:35:40
dayejisong,大叶矶松,Dà Yè Jī Sōnɡ,补血草,,,https://www.zysj.com.cn/zhongyaocai/dayejisong/index.html,1,《中华本草》,2025-12-22 00:35:40
dayebaihuadenglong,大叶白花灯笼,Dà Yè Bái Huā Dēnɡ Lonɡ,狮子球、山茉莉、白蜻蜓、红顶风、红将军、毛赪桐、九连灯,,,https://www.zysj.com.cn/zhongyaocai/dayebaihuadenglong/index.html,1,《中华本草》,2025-12-22 00:35:41
dayebaizhishan,大叶白纸扇,Dà Yè Bái Zhǐ Shàn,黐花、大叶靛青、山膏药、惊风草、鸡母樵、铁尺树、白纸扇、臭叶树、合叶通草,,,https://www.zysj.com.cn/zhongyaocai/dayebaizhishan/index.html,1,《中华本草》,2025-12-22 00:35:41
